892ns  |  0x00000030  |  02f707b3           mul a5,a4,a5
893ns  |  0x00000034  |  00078513           mv a0,a5
894ns  |  0x00000038  |  06c000ef           jal a4 <jump_function1>
895ns  |  0x000000a4  |  fe010113           add sp,sp,-32 ## [ ENTER FUNCTION 1 ] ##
896ns  |  0x000000a8  |  00812e23           sw s0,28(sp)
897ns  |  0x000000ac  |  02010413           add s0,sp,32
911ns  |  0x000000b0  |  fea42623           sw a0,-20(s0)
912ns  |  0x000000b4  |  fec42783           lw a5,-20(s0)
913ns  |  0x000000b8  |  0017f793           and a5,a5,1
914ns  |  0x000000bc  |  00079663           bnez a5,c8 <jump_function1+0x24>
915ns  |  0x000000c0  |  01400793           li a5,20
916ns  |  0x000000c4  |  0080006f           j cc <jump_function1+0x28>
917ns  |  0x000000cc  |  00078513           mv a0,a5
918ns  |  0x000000d0  |  01c12403           lw s0,28(sp)
919ns  |  0x000000d4  |  02010113           add sp,sp,32
920ns  |  0x000000d8  |  00008067           ret
921ns  |  0x0000003c  |  00050713           mv a4,a0
922ns  |  0x00000040  |  fec42783           lw a5,-20(s0)
923ns  |  0x00000044  |  00e787b3           add a5,a5,a4
924ns  |  0x00000048  |  fef42623           sw a5,-20(s0)
925ns  |  0x0000004c  |  0280006f           j 74 <main+0x74>
926ns  |  0x00000074  |  fe842783           lw a5,-24(s0)
927ns  |  0x00000078  |  00178793           add a5,a5,1
957ns  |  0x0000007c  |  fef42423           sw a5,-24(s0)
958ns  |  0x00000080  |  fe842703           lw a4,-24(s0)
959ns  |  0x00000084  |  01300793           li a5,19
960ns  |  0x00000088  |  f8e7dae3           bge a5,a4,1c <main+0x1c>
961ns  |  0x0000001c  |  fe842783           lw a5,-24(s0)
962ns  |  0x00000020  |  0017f793           and a5,a5,1
963ns  |  0x00000024  |  02079663           bnez a5,50 <main+0x50>
964ns  |  0x00000050  |  fec42703           lw a4,-20(s0)
965ns  |  0x00000054  |  fe842783           lw a5,-24(s0)
966ns  |  0x00000058  |  02f707b3           mul a5,a4,a5
967ns  |  0x0000005c  |  00078513           mv a0,a5
968ns  |  0x00000060  |  07c000ef           jal dc <jump_function2>
969ns  |  0x000000dc  |  fe010113           add sp,sp,-32 ## [ ENTER FUNCTION 2 ] ##
970ns  |  0x000000e0  |  00812e23           sw s0,28(sp)
971ns  |  0x000000e4  |  02010413           add s0,sp,32
984ns  |  0x000000e8  |  fea42623           sw a0,-20(s0)
985ns  |  0x000000ec  |  fec42783           lw a5,-20(s0)
986ns  |  0x000000f0  |  0017f793           and a5,a5,1
987ns  |  0x000000f4  |  00079663           bnez a5,100 <jump_function2+0x24>
988ns  |  0x000000f8  |  02800793           li a5,40
989ns  |  0x000000fc  |  0080006f           j 104 <jump_function2+0x28>
990ns  |  0x00000104  |  00078513           mv a0,a5
991ns  |  0x00000108  |  01c12403           lw s0,28(sp)
992ns  |  0x0000010c  |  02010113           add sp,sp,32
993ns  |  0x00000110  |  00008067           ret
994ns  |  0x00000064  |  00050713           mv a4,a0
995ns  |  0x00000068  |  fec42783           lw a5,-20(s0)
996ns  |  0x0000006c  |  00e787b3           add a5,a5,a4
997ns  |  0x00000070  |  fef42623           sw a5,-20(s0)
998ns  |  0x00000074  |  fe842783           lw a5,-24(s0)
999ns  |  0x00000078  |  00178793           add a5,a5,1
1021ns  |  0x0000007c  |  fef42423           sw a5,-24(s0)
1022ns  |  0x00000080  |  fe842703           lw a4,-24(s0)
1023ns  |  0x00000084  |  01300793           li a5,19
