[9ns] [0x0] [0x00001137] | lui sp,0x1 | x2 = 4096 , 0x1000
[369ns] [0xCC] [0xFE442583] | lw a1,-28(s0) | x11 = 4 , 0x4

[370ns] [0xD0] [0x00B505B3] | add a1,a0,a1 | x11 = 1028 , 0x404

[371ns] [0xD4] [0x0005C583] | lbu a1,0(a1) | x11 = 187 , 0xbb

[375ns] [0xD8] [0x00058713] | mv a4,a1 | x14 = 187 , 0xbb

[376ns] [0xDC] [0x00000793] | li a5,0 | x15 = 0 , 0x0

[378ns] [0xE0] [0xFEC42583] | lw a1,-20(s0) | x11 = 4292815057 , 0xffdf28d1

[383ns] [0xE4] [0x02E58533] | mul a0,a1,a4 | x10 = 3892498603 , 0xe802d0ab

[384ns] [0xE8] [0xFE842583] | lw a1,-24(s0) | x11 = 2163887352 , 0x80fa4cf8

[385ns] [0xEC] [0x02F585B3] | mul a1,a1,a5 | x11 = 0 , 0x0

[386ns] [0xF0] [0x00B50533] | add a0,a0,a1 | x10 = 3892498603 , 0xe802d0ab

[389ns] [0xF4] [0xFE842583] | lw a1,-24(s0) | x11 = 2163887352 , 0x80fa4cf8

[394ns] [0xF8] [0x02E58833] | mul a6,a1,a4 | x16 = 920009000 , 0x36d63928

[395ns] [0xFC] [0x02E5B6B3] | mulhu a3,a1,a4 | x13 = 94 , 0x5e

[396ns] [0x100] [0x00080613] | mv a2,a6 | x12 = 920009000 , 0x36d63928

[397ns] [0x104] [0x00D505B3] | add a1,a0,a3 | x11 = 3892498697 , 0xe802d109

[398ns] [0x108] [0x00058693] | mv a3,a1 | x13 = 3892498697 , 0xe802d109

[399ns] [0x10C] [0xFEC42423] | sw a2,-24(s0) | x0 = 0 , 0x0

[400ns] [0x110] [0xFED42623] | sw a3,-20(s0) | x0 = 0 , 0x0

[401ns] [0x114] [0xFEC42423] | sw a2,-24(s0) | x0 = 0 , 0x0

[403ns] [0x118] [0xFED42623] | sw a3,-20(s0) | x0 = 0 , 0x0

[406ns] [0x11C] [0xFDC42583] | lw a1,-36(s0) | x11 = 857870592 , 0x33221100

[409ns] [0x120] [0x00058313] | mv t1,a1 | x6 = 857870592 , 0x33221100

[410ns] [0x124] [0x00000393] | li t2,0 | x7 = 0 , 0x0

[412ns] [0x128] [0xFE842803] | lw a6,-24(s0) | x16 = 920009000 , 0x36d63928

[413ns] [0x12C] [0xFEC42883] | lw a7,-20(s0) | x17 = 3892498697 , 0xe802d109

[415ns] [0x130] [0x40680533] | sub a0,a6,t1 | x10 = 62138408 , 0x3b42828

[416ns] [0x134] [0x00050E13] | mv t3,a0 | x28 = 62138408 , 0x3b42828

[417ns] [0x138] [0x01C83E33] | sltu t3,a6,t3 | x28 = 0 , 0x0

[418ns] [0x13C] [0x407885B3] | sub a1,a7,t2 | x11 = 3892498697 , 0xe802d109

[419ns] [0x140] [0x41C58833] | sub a6,a1,t3 | x16 = 3892498697 , 0xe802d109

[420ns] [0x144] [0x00080593] | mv a1,a6 | x11 = 3892498697 , 0xe802d109

[421ns] [0x148] [0xFEA42423] | sw a0,-24(s0) | x0 = 0 , 0x0

[422ns] [0x14C] [0xFEB42623] | sw a1,-20(s0) | x0 = 0 , 0x0

[424ns] [0x150] [0xFE442583] | lw a1,-28(s0) | x11 = 4 , 0x4

[427ns] [0x154] [0x00158593] | add a1,a1,1 | x11 = 5 , 0x5

[428ns] [0x158] [0xFEB42223] | sw a1,-28(s0) | x0 = 0 , 0x0

[431ns] [0x15C] [0xFE442503] | lw a0,-28(s0) | x10 = 5 , 0x5

[432ns] [0x160] [0x00500593] | li a1,5 | x11 = 5 , 0x5

[433ns] [0x164] [0xF6A5D2E3] | bge a1,a0,c8 <function+0x28> | x0 = 1 , 0x1

[436ns] [0xC8] [0x40000513] | li a0,1024 | x10 = 1024 , 0x400

[440ns] [0xCC] [0xFE442583] | lw a1,-28(s0) | x11 = 5 , 0x5

[441ns] [0xD0] [0x00B505B3] | add a1,a0,a1 | x11 = 1029 , 0x405

[442ns] [0xD4] [0x0005C583] | lbu a1,0(a1) | x11 = 170 , 0xaa

[446ns] [0xD8] [0x00058713] | mv a4,a1 | x14 = 170 , 0xaa

[447ns] [0xDC] [0x00000793] | li a5,0 | x15 = 0 , 0x0

[449ns] [0xE0] [0xFEC42583] | lw a1,-20(s0) | x11 = 3892498697 , 0xe802d109

[454ns] [0xE4] [0x02E58533] | mul a0,a1,a4 | x10 = 299814906 , 0x11decffa

[455ns] [0xE8] [0xFE842583] | lw a1,-24(s0) | x11 = 62138408 , 0x3b42828

[456ns] [0xEC] [0x02F585B3] | mul a1,a1,a5 | x11 = 0 , 0x0

[457ns] [0xF0] [0x00B50533] | add a0,a0,a1 | x10 = 299814906 , 0x11decffa

[460ns] [0xF4] [0xFE842583] | lw a1,-24(s0) | x11 = 62138408 , 0x3b42828

[465ns] [0xF8] [0x02E58833] | mul a6,a1,a4 | x16 = 1973594768 , 0x75a2aa90

[466ns] [0xFC] [0x02E5B6B3] | mulhu a3,a1,a4 | x13 = 2 , 0x2

[467ns] [0x100] [0x00080613] | mv a2,a6 | x12 = 1973594768 , 0x75a2aa90

[468ns] [0x104] [0x00D505B3] | add a1,a0,a3 | x11 = 299814908 , 0x11decffc

[469ns] [0x108] [0x00058693] | mv a3,a1 | x13 = 299814908 , 0x11decffc

[470ns] [0x10C] [0xFEC42423] | sw a2,-24(s0) | x0 = 0 , 0x0

[471ns] [0x110] [0xFED42623] | sw a3,-20(s0) | x0 = 0 , 0x0

[472ns] [0x114] [0xFEC42423] | sw a2,-24(s0) | x0 = 0 , 0x0

[474ns] [0x118] [0xFED42623] | sw a3,-20(s0) | x0 = 0 , 0x0

[477ns] [0x11C] [0xFDC42583] | lw a1,-36(s0) | x11 = 857870592 , 0x33221100

[480ns] [0x120] [0x00058313] | mv t1,a1 | x6 = 857870592 , 0x33221100

[481ns] [0x124] [0x00000393] | li t2,0 | x7 = 0 , 0x0

[483ns] [0x128] [0xFE842803] | lw a6,-24(s0) | x16 = 1973594768 , 0x75a2aa90

[484ns] [0x12C] [0xFEC42883] | lw a7,-20(s0) | x17 = 299814908 , 0x11decffc

[486ns] [0x130] [0x40680533] | sub a0,a6,t1 | x10 = 1115724176 , 0x42809990

[487ns] [0x134] [0x00050E13] | mv t3,a0 | x28 = 1115724176 , 0x42809990

[488ns] [0x138] [0x01C83E33] | sltu t3,a6,t3 | x28 = 0 , 0x0

[489ns] [0x13C] [0x407885B3] | sub a1,a7,t2 | x11 = 299814908 , 0x11decffc

[490ns] [0x140] [0x41C58833] | sub a6,a1,t3 | x16 = 299814908 , 0x11decffc

[491ns] [0x144] [0x00080593] | mv a1,a6 | x11 = 299814908 , 0x11decffc

[492ns] [0x148] [0xFEA42423] | sw a0,-24(s0) | x0 = 0 , 0x0

[493ns] [0x14C] [0xFEB42623] | sw a1,-20(s0) | x0 = 0 , 0x0

[495ns] [0x150] [0xFE442583] | lw a1,-28(s0) | x11 = 5 , 0x5

[498ns] [0x154] [0x00158593] | add a1,a1,1 | x11 = 6 , 0x6

[499ns] [0x158] [0xFEB42223] | sw a1,-28(s0) | x0 = 0 , 0x0

[502ns] [0x15C] [0xFE442503] | lw a0,-28(s0) | x10 = 6 , 0x6

[503ns] [0x160] [0x00500593] | li a1,5 | x11 = 5 , 0x5

[504ns] [0x164] [0xF6A5D2E3] | bge a1,a0,c8 <function+0x28> | x0 = 0 , 0x0

[506ns] [0x168] [0xFE842703] | lw a4,-24(s0) | x14 = 1115724176 , 0x42809990

[507ns] [0x16C] [0xFEC42783] | lw a5,-20(s0) | x15 = 299814908 , 0x11decffc

[509ns] [0x170] [0x00070513] | mv a0,a4 | x10 = 1115724176 , 0x42809990

[510ns] [0x174] [0x00078593] | mv a1,a5 | x11 = 299814908 , 0x11decffc

[512ns] [0x178] [0x02C12403] | lw s0,44(sp) | x8 = 2048 , 0x800

[513ns] [0x17C] [0x03010113] | add sp,sp,48 | x2 = 2016 , 0x7e0

[514ns] [0x180] [0x00008067] | ret  | x0 = 388 , 0x184

[517ns] [0x6C] [0x00050713] | mv a4,a0 | x14 = 1115724176 , 0x42809990

[518ns] [0x70] [0x00058793] | mv a5,a1 | x15 = 299814908 , 0x11decffc

[519ns] [0x74] [0x0007D913] | srl s2,a5,0x0 | x18 = 299814908 , 0x11decffc

[520ns] [0x78] [0x00000993] | li s3,0 | x19 = 0 , 0x0

[523ns] [0x7C] [0xFF242623] | sw s2,-20(s0) | x0 = 0 , 0x0

[524ns] [0x80] [0xFEC42783] | lw a5,-20(s0) | x15 = 299814908 , 0x11decffc

