============== PROGRAM TRACE ==============
7780ns , 0x2c , x11 , 0x00000000
7790ns , 0x30 , x12 , 0x00000000
7800ns , 0x34 , x13 , 0x00000000
7810ns , 0x38 , x14 , 0x00000000
7820ns , 0x3c , x15 , 0x00000000
7830ns , 0x40 , x16 , 0x00000000
7840ns , 0x44 , x17 , 0x00000000
7850ns , 0x48 , x18 , 0x00000000
7860ns , 0x4c , x19 , 0x00000000
7870ns , 0x50 , x20 , 0x00000000
7880ns , 0x54 , x21 , 0x00000000
7890ns , 0x58 , x22 , 0x00000000
7900ns , 0x5c , x23 , 0x00000000
7910ns , 0x60 , x24 , 0x00000000
7920ns , 0x64 , x25 , 0x00000000
7930ns , 0x68 , x26 , 0x00000000
7940ns , 0x6c , x27 , 0x00000000
7950ns , 0x70 , x28 , 0x00000000
7960ns , 0x74 , x29 , 0x00000000
7970ns , 0x78 , x30 , 0x00000000
7980ns , 0x7c , x31 , 0x00000000
7990ns , 0x80 , x03 , 0x00000000
8000ns , 0x84 , x10 , 0x00000001
8010ns , 0x88 , x10 , 0x80000000
8020ns , 0x8c , x00 , 0x00000001
8030ns , 0xb0 , x00 , 0x00000800
8060ns , 0xb4 , x05 , 0x000000b4
8070ns , 0xb8 , x05 , 0x000000c4
8080ns , 0xbc , x00 , 0x000000c8
8110ns , 0xc0 , x10 , 0x00000000
8120ns , 0xc4 , x03 , 0x00000002
8220ns , 0x0 , x00 , 0x00000004
8290ns , 0x4 , x01 , 0x00000000
8300ns , 0x8 , x02 , 0x00000000
8310ns , 0xc , x03 , 0x00000000
8320ns , 0x10 , x04 , 0x00000000
8330ns , 0x14 , x05 , 0x00000000
8340ns , 0x18 , x06 , 0x00000000
8350ns , 0x1c , x07 , 0x00000000
8360ns , 0x20 , x08 , 0x00000000
8370ns , 0x24 , x09 , 0x00000000
8380ns , 0x28 , x10 , 0x00000000
8390ns , 0x2c , x11 , 0x00000000
8400ns , 0x30 , x12 , 0x00000000
8410ns , 0x34 , x13 , 0x00000000
8420ns , 0x38 , x14 , 0x00000000
8430ns , 0x3c , x15 , 0x00000000
8440ns , 0x40 , x16 , 0x00000000
8450ns , 0x44 , x17 , 0x00000000
8460ns , 0x48 , x18 , 0x00000000
8470ns , 0x4c , x19 , 0x00000000
8480ns , 0x50 , x20 , 0x00000000
8490ns , 0x54 , x21 , 0x00000000
8500ns , 0x58 , x22 , 0x00000000
8510ns , 0x5c , x23 , 0x00000000
8520ns , 0x60 , x24 , 0x00000000
8530ns , 0x64 , x25 , 0x00000000
8540ns , 0x68 , x26 , 0x00000000
8550ns , 0x6c , x27 , 0x00000000
8560ns , 0x70 , x28 , 0x00000000
8570ns , 0x74 , x29 , 0x00000000
8580ns , 0x78 , x30 , 0x00000000
8590ns , 0x7c , x31 , 0x00000000
8600ns , 0x80 , x03 , 0x00000000
8610ns , 0x84 , x10 , 0x00000001
8620ns , 0x88 , x10 , 0x80000000
